Is_Sale,Source,Reference,Town,PropertyType,Latitude,Longitude,TotalRooms,TotalBedrooms,TotalBathrooms,TotalSqm,TotalIntArea,TotalExtArea,Price,Province
True,Remax,240171002-328,Sliema,Car Space,35.91223,14.49969,0.0,0.0,0.0,15.0,15.0,0.0,40000,Central
True,Remax,240171002-327,Sliema,Penthouse,35.91223,14.49969,5.0,2.0,2.0,140.0,106.0,34.0,525000,Central
True,Remax,240291001-567,Qawra,Garage (Residential),35.95441,14.41972,0.0,0.0,0.0,23.0,23.0,0.0,55000,Northern
True,Remax,240251119-208,Iklin,Garage (Residential),35.9095,14.4511,0.0,0.0,0.0,15.0,0.0,0.0,32000,Central
True,Remax,240271020-71,Iklin,Apartment,35.9095,14.4511,5.0,2.0,2.0,84.0,75.0,8.0,287000,Central
True,Remax,240151012-1732,Rabat,Townhouse,35.88588,14.35485,12.0,5.0,1.0,175.0,102.0,73.0,450000,Northern
True,Remax,240251097-712,Iklin,Penthouse,35.9095,14.4511,7.0,3.0,2.0,143.0,103.0,41.0,629000,Central
True,Remax,240271011-177,Iklin,Apartment,35.9095,14.4511,7.0,2.0,2.0,84.0,76.0,8.0,300000,Central
True,Remax,240251083-148,Iklin,Apartment,35.9095,14.4511,6.0,2.0,2.0,84.0,76.0,8.0,287000,Central
True,Remax,240251097-711,Iklin,Apartment,35.9095,14.4511,6.0,2.0,2.0,84.0,76.0,8.0,269000,Central
True,Remax,240041024-388,St Paul's Bay,Maisonette Solitary,35.93579,14.38177,5.0,2.0,1.0,98.0,86.0,12.0,285000,Northern
True,Remax,240091058-154,Birkirkara,Maisonette Duplex,35.89574,14.45658,9.0,3.0,2.0,227.0,210.0,17.0,638000,Central
True,Remax,240091056-738,Hamrun,Site,35.88683,14.48569,0.0,0.0,0.0,319.0,200.0,119.0,350000,Southern
True,Remax,240171032-125,St Julian's,Apartment,35.91986,14.48087,6.0,3.0,1.0,264.0,102.0,162.0,297000,Central
True,Remax,240061071-1184,Qormi,Apartment,35.87667,14.45933,9.0,3.0,2.0,310.0,170.0,83.0,395000,Southern
True,Remax,240171002-388,Gzira,Apartment,35.90512,14.49346,7.0,3.0,2.0,165.0,111.0,19.0,285000,Central
