Type,Province,Town,Bedrooms,Stage,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Median_Price,Rent_Min_Price,Rent_Max_Price,Rent_Median_Price,Downpayment,Loan,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Monthly,Net_Rent_Year,Total_Years,CoC_Return
Apartment,South,Marsa,3.0,Finished,9,9,2.0,1.0,111.0,,17.0,,165000.0,230000.0,175000.0,850.0,1100.0,850.0,17500.0,157500.0,753.74,42.5,42.5,85.0,-73.74,-884.89,46.45,-5.06
Penthouse,South,Fgura,1.0,Plan,3,10,1.0,1.0,60.0,,28.0,,155000.0,199000.0,174000.0,650.0,1000.0,845.0,17400.0,156600.0,749.43,42.25,42.25,84.5,-73.43,-881.2,46.45,-5.06
House of Character,Central,Qormi,3.0,Unclassified,4,8,2.0,3.0,121.5,110.0,34.5,45.0,350000.0,455000.0,360500.0,1400.0,2250.0,1750.0,36050.0,324450.0,1552.71,87.5,87.5,175.0,-152.71,-1832.47,46.46,-5.08
Apartment,East,Gzira,2.0,Plan,76,1314,2.0,2.0,85.5,59.0,10.0,1.0,192000.0,550000.0,249000.0,550.0,3300.0,1200.0,24900.0,224100.0,1072.47,60.0,60.0,120.0,-112.47,-1349.59,46.61,-5.42
Apartment,East,Gzira,2.0,Unclassified,50,1314,2.0,2.0,85.0,59.0,10.0,1.0,195000.0,595000.0,249000.0,550.0,3300.0,1200.0,24900.0,224100.0,1072.47,60.0,60.0,120.0,-112.47,-1349.59,46.61,-5.42
Maisonette,East,San Gwann,2.0,Finished,4,33,2.0,1.5,,72.5,,20.0,225000.0,245000.0,229000.0,700.0,4000.0,1100.0,22900.0,206100.0,986.32,55.0,55.0,110.0,-106.32,-1275.88,46.69,-5.57
Penthouse,East,Msida,2.0,Shell,5,237,2.0,2.0,50.0,74.0,23.0,20.0,196000.0,250000.0,250000.0,650.0,2880.0,1200.0,25000.0,225000.0,1076.77,60.0,60.0,120.0,-116.77,-1401.27,46.7,-5.61
Apartment,East,Pieta,2.0,Plan,7,208,2.0,2.0,91.0,1.0,8.0,1.0,175000.0,285000.0,198000.0,700.0,2100.0,950.0,19800.0,178200.0,852.8,47.5,47.5,95.0,-92.8,-1113.65,46.71,-5.62
Apartment,East,Msida,1.0,Unclassified,32,388,1.0,1.0,55.0,1.0,9.0,1.0,115000.0,228000.0,167500.0,400.0,3000.0,800.0,16750.0,150750.0,721.44,40.0,40.0,80.0,-81.44,-977.25,46.81,-5.83
Penthouse,Central,Hamrun,2.0,Shell,3,19,2.0,2.0,90.0,75.0,25.0,10.5,189000.0,240000.0,189000.0,700.0,1500.0,900.0,18900.0,170100.0,814.04,45.0,45.0,90.0,-94.04,-1128.48,46.88,-5.97
