Type,Province,Town,Bedrooms,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
Farmhouse,East,San Gwann,5.0,1,4.0,,,3000.0,3000.0,3000.0
House of Character,West,Mdina,4.0,1,2.0,0.0,0.0,3000.0,3000.0,3000.0
Farmhouse,East,San Gwann,4.0,1,3.0,0.0,0.0,3000.0,3000.0,3000.0
Palazzo,West,Mdina,5.0,1,5.0,0.0,0.0,3000.0,3000.0,3000.0
Villa Semi-Detached,South,Marsaskala,3.0,2,2.0,0.0,0.0,2900.0,3000.0,2950.0
Penthouse Duplex,North,Mellieha,3.0,2,4.0,0.0,0.0,2900.0,2900.0,2900.0
Apartment,East,Saint Julian's,5.0,7,2.0,0.0,0.0,700.0,3600.0,2900.0
Palazzo,East,Valletta,2.0,1,2.0,,,2900.0,2900.0,2900.0
Villa,Central,Lija,5.0,2,4.5,0.0,0.0,1800.0,4000.0,2900.0
Palazzo,South,Tarxien,5.0,1,3.0,0.0,0.0,2900.0,2900.0,2900.0
Villa,Central,Balzan,3.0,3,2.0,0.0,0.0,2500.0,4300.0,2900.0
Bungalow,East,Saint Julian's,2.0,1,1.0,,,2900.0,2900.0,2900.0
Penthouse Duplex,East,Madliena,2.0,2,3.0,0.0,0.0,2800.0,2800.0,2800.0
Villa Semi-Detached,Central,Birkirkara,3.0,2,2.5,0.0,0.0,2800.0,2800.0,2800.0
Villa,East,Kappara,3.0,25,3.0,0.0,0.0,1950.0,6500.0,2800.0
Penthouse Duplex,Central,Naxxar,2.0,1,5.0,0.0,0.0,2800.0,2800.0,2800.0
Farmhouse,Central,Mosta,4.0,3,4.0,0.0,0.0,2000.0,3000.0,2800.0
Bungalow,North,Bidnija,3.0,7,2.0,0.0,0.0,2500.0,4500.0,2800.0
Penthouse,East,Madliena,2.0,2,2.5,,,2800.0,2800.0,2800.0
Bungalow,West,Bahrija,3.0,1,2.0,,,2800.0,2800.0,2800.0
Bungalow,Central,Attard,3.0,1,3.0,,,2800.0,2800.0,2800.0
Bungalow,Central,Attard,4.0,2,2.5,0.0,0.0,1100.0,4500.0,2800.0
Villa Semi-Detached,South,Marsaskala,2.0,1,2.0,,,2800.0,2800.0,2800.0
Guesthouse,South,Mqabba,6.0,1,5.0,,,2800.0,2800.0,2800.0
House of Character,West,Mdina,3.0,8,3.0,0.0,0.0,1600.0,3500.0,2775.0
House of Character,South,Birgu,4.0,2,2.5,0.0,0.0,2500.0,3000.0,2750.0
Farmhouse,North,Mgarr,3.0,2,3.0,,,2000.0,3500.0,2750.0
Villa Semi-Detached,East,Swieqi,6.0,2,2.0,0.0,0.0,2000.0,3500.0,2750.0
Bungalow,East,Kappara,5.0,1,2.0,,,2700.0,2700.0,2700.0
Palazzo,East,Sliema,7.0,1,2.0,,,2700.0,2700.0,2700.0
House of Character,Gozo,Gozo - Sannat,5.0,1,6.0,312.0,147.0,2700.0,2700.0,2700.0
Villa Semi-Detached,Gozo,Gozo - Qala,6.0,1,6.0,,,2700.0,2700.0,2700.0
Villa,East,Gharghur,3.0,1,5.0,,,2700.0,2700.0,2700.0
Apartment,South,Cospicua,3.0,1,3.0,,,2700.0,2700.0,2700.0
Villa,Gozo,Gozo - Qala,6.0,1,7.0,,,2700.0,2700.0,2700.0
Villa Semi-Detached,East,Kappara,3.0,24,3.0,0.0,0.0,1800.0,5500.0,2675.0
Villa,East,Pembroke,4.0,2,3.0,,,2000.0,3300.0,2650.0
Bungalow Semi-Detached,Central,Naxxar,4.0,4,2.0,,,2500.0,3950.0,2650.0
Villa,Gozo,Gozo - Qala,3.0,1,5.0,303.0,151.0,2600.0,2600.0,2600.0
House of Character,Central,Naxxar,4.0,10,3.0,0.0,0.0,1700.0,6000.0,2550.0
Villa,Central,Mosta,3.0,4,2.0,,,1800.0,4200.0,2550.0
Farmhouse,Gozo,Gozo - Victoria,5.0,2,5.5,0.0,0.0,2500.0,2500.0,2500.0
Apartment,East,Sliema,5.0,9,3.0,0.0,0.0,1100.0,6000.0,2500.0
Apartment,East,Sliema,4.0,205,3.0,0.0,0.0,110.0,6000.0,2500.0
Villa,South,Birgu,4.0,1,2.0,,,2500.0,2500.0,2500.0
Penthouse Duplex,East,Ta' Xbiex,3.0,4,2.0,0.0,0.0,2500.0,2500.0,2500.0
Bungalow,East,Gzira,3.0,1,2.0,,,2500.0,2500.0,2500.0
