Type,Town,Bedrooms,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Mean_Price,Rent_Min_Price,Rent_Max_Price,Rent_Mean_Price,Downpayment,Loan,Repayment_Year,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Year,Net_Rent_Monthly,CoC_Return,Down_Years,Prop_Years,Total_Years
Apartment,Luqa,2.0,70,42,2.0,2.0,101.0,0.0,16.0,0.0,175000,255000,198935.71,550,1000,839.29,49733.93,149201.78,8568.34,714.03,41.96,41.96,83.93,-511.16,-42.6,-0.01,-97.3,-291.89,-389.19
House of Character,Zebbug,3.0,17,20,2.0,3.0,158.0,0.0,62.5,0.0,239000,820000,502588.24,800,3800,2162.5,125647.06,376941.18,21646.93,1803.91,108.12,108.12,216.25,-886.93,-73.91,-0.01,-141.67,-425.0,-566.66
Apartment,Manikata,2.0,10,11,2.0,2.0,78.0,0.0,5.0,0.0,198000,258000,221400.0,650,1350,945.45,55350.0,166050.0,9535.9,794.66,47.27,47.27,94.55,-459.58,-38.3,-0.01,-120.44,-361.31,-481.75
Apartment,Birkirkara,2.0,219,155,2.0,2.0,86.0,0.0,8.0,0.0,149000,305000,218969.18,650,1600,914.45,54742.3,164226.88,9431.2,785.93,45.72,45.72,91.44,-652.48,-54.37,-0.01,-83.9,-251.7,-335.6
Maisonette,Floriana,1.0,8,5,1.0,1.0,69.0,0.0,1.0,0.0,95000,385000,238000.0,600,1500,1030.0,59500.0,178500.0,10250.87,854.24,51.5,51.5,103.0,-362.87,-30.24,-0.01,-163.97,-491.9,-655.87
Apartment,Gozo - Marsalforn,3.0,16,104,2.0,2.0,0.0,0.0,25.0,0.0,140000,212000,163406.25,450,1300,699.33,40851.56,122554.69,7038.05,586.5,34.97,34.97,69.93,-324.49,-27.04,-0.01,-125.9,-377.69,-503.58
Penthouse Duplex,Bahar Ic-Caghaq,2.0,7,3,2.0,2.0,97.0,,19.0,,330000,531000,397714.29,1050,2500,1666.67,99428.57,298285.72,17129.91,1427.49,83.33,83.33,166.67,-1129.88,-94.16,-0.01,-88.0,-264.0,-352.0
Penthouse,Gozo - Nadur,3.0,10,3,2.0,2.0,0.0,0.0,27.0,0.0,178000,373000,294600.0,800,1400,1183.33,73650.0,220950.0,12688.69,1057.39,59.17,59.17,118.33,-1328.72,-110.73,-0.02,-55.43,-166.29,-221.72
Penthouse,Gzira,1.0,55,110,1.0,1.0,56.0,0.0,22.0,0.0,190000,330000,257454.55,72,1600,1034.36,64363.64,193090.91,11088.8,924.07,51.72,51.72,103.44,-1158.94,-96.58,-0.02,-55.54,-166.61,-222.15
Apartment,Valletta,1.0,10,171,1.0,1.0,42.0,0.0,21.0,0.0,213000,287000,257900.0,80,3500,1052.12,64475.0,193425.0,11107.99,925.67,52.61,52.61,105.21,-1007.63,-83.97,-0.02,-63.99,-191.96,-255.95
Maisonette,Santa Venera,3.0,16,18,2.0,2.0,140.0,0.0,21.0,0.0,205000,425000,323562.5,900,1700,1266.67,80890.62,242671.88,13936.13,1161.34,63.33,63.33,126.67,-1776.1,-148.01,-0.02,-45.54,-136.63,-182.18
Maisonette,Floriana,2.0,3,10,1.5,1.0,71.0,0.0,4.0,0.0,190000,325000,280000.0,600,1800,1095.0,70000.0,210000.0,12059.85,1004.99,54.75,54.75,109.5,-1547.85,-128.99,-0.02,-45.22,-135.67,-180.9
Apartment,Swieqi,4.0,7,88,2.0,2.0,153.0,0.0,12.0,0.0,330000,395000,367142.86,800,2300,1437.5,91785.72,275357.14,15813.17,1317.76,71.88,71.88,143.75,-2013.17,-167.76,-0.02,-45.59,-136.78,-182.37
Apartment,Gozo - Fontana,3.0,14,9,2.0,2.0,130.0,0.0,19.0,0.0,149000,230000,165928.57,550,900,672.22,41482.14,124446.43,7146.69,595.56,33.61,33.61,67.22,-693.38,-57.78,-0.02,-59.83,-179.48,-239.3
Apartment,Sliema,3.0,369,3468,2.0,2.0,123.0,0.0,10.0,0.0,3500,825000,527746.61,55,8000,2109.58,131936.65,395809.96,22730.52,1894.21,105.48,105.48,210.96,-2478.56,-206.55,-0.02,-53.23,-159.69,-212.93
Apartment,Swieqi,3.0,181,1248,2.0,2.0,120.0,0.0,11.0,0.0,290000,424000,365270.72,90,3500,1436.74,91317.68,273953.04,15732.54,1311.04,71.84,71.84,143.67,-1939.84,-161.65,-0.02,-47.07,-141.22,-188.3
Apartment,Santa Venera,2.0,157,82,2.0,2.0,91.0,0.0,8.0,0.0,160000,350000,215021.66,500,1100,833.54,53755.42,161266.24,9261.18,771.76,41.68,41.68,83.35,-1259.19,-104.93,-0.02,-42.69,-128.07,-170.76
Maisonette,San Gwann,1.0,6,6,1.0,1.0,57.0,0.0,0.0,0.0,175000,235000,191666.67,550,1125,754.17,47916.67,143750.0,8255.26,687.94,37.71,37.71,75.42,-1015.22,-84.6,-0.02,-47.2,-141.59,-188.79
Apartment,Xemxija,2.0,14,80,1.0,2.0,67.5,0.0,2.5,0.0,175000,270000,224285.71,550,1600,887.69,56071.43,168214.28,9660.19,805.02,44.38,44.38,88.77,-1138.36,-94.86,-0.02,-49.26,-147.77,-197.02
Maisonette,Qawra,2.0,48,29,2.0,1.0,91.0,0.0,10.0,0.0,160000,361000,218927.08,600,1500,867.24,54731.77,164195.31,9429.39,785.78,43.36,43.36,86.72,-1103.88,-91.99,-0.02,-49.58,-148.74,-198.32
Apartment,Balzan,2.0,68,41,2.0,2.0,86.0,0.0,11.0,0.0,178000,385000,253367.65,500,2500,1004.88,63341.91,190025.74,10912.77,909.4,50.24,50.24,100.49,-1265.93,-105.49,-0.02,-50.04,-150.11,-200.14
Maisonette,Gozo - Victoria,3.0,22,10,2.0,2.0,137.5,0.0,20.5,0.0,148000,250000,190181.82,600,1100,735.0,47545.46,142636.36,8191.3,682.61,36.75,36.75,73.5,-1135.3,-94.61,-0.02,-41.88,-125.64,-167.52
Maisonette,Paola,2.0,38,13,2.0,1.0,79.0,0.0,6.5,0.0,106000,340000,199547.37,650,1200,791.54,49886.84,149660.53,8594.69,716.22,39.58,39.58,79.15,-995.9,-82.99,-0.02,-50.09,-150.28,-200.37
Apartment,Birkirkara,1.0,27,29,1.0,1.0,57.0,0.0,7.5,0.0,130000,245000,176451.85,400,1200,722.41,44112.96,132338.89,7599.94,633.33,36.12,36.12,72.24,-664.8,-55.4,-0.02,-66.35,-199.06,-265.42
Penthouse,San Gwann,3.0,44,31,2.0,2.0,108.5,0.0,24.0,0.0,320000,715000,426818.18,950,4000,1725.81,106704.54,320113.64,18383.44,1531.95,86.29,86.29,172.58,-1815.67,-151.31,-0.02,-58.77,-176.31,-235.07
Maisonette,Gozo - Ghajnsielem,3.0,5,6,2.0,2.0,172.5,0.0,16.0,0.0,195000,258000,230600.0,600,1500,933.33,57650.0,172950.0,9932.15,827.68,46.67,46.67,93.33,-972.18,-81.02,-0.02,-59.3,-177.9,-237.2
Maisonette,Safi,2.0,7,5,2.0,2.0,93.0,0.0,28.0,0.0,165000,225000,204142.86,700,1000,820.0,51035.72,153107.14,8792.62,732.72,41.0,41.0,82.0,-920.62,-76.72,-0.02,-55.44,-166.31,-221.75
Penthouse,Hamrun,2.0,48,13,2.0,2.0,70.0,0.0,21.5,0.0,150000,404000,233562.5,650,1500,930.0,58390.62,175171.88,10059.75,838.31,46.5,46.5,93.0,-1131.75,-94.31,-0.02,-51.59,-154.78,-206.37
Apartment,Bugibba,2.0,95,333,2.0,1.0,85.0,0.0,15.0,0.0,145000,250000,203457.89,450,1900,817.21,50864.47,152593.42,8763.12,730.26,40.86,40.86,81.72,-917.9,-76.49,-0.02,-55.41,-166.24,-221.66
Apartment,Bugibba,3.0,131,197,2.0,2.0,112.0,0.0,20.0,0.0,185000,425000,257305.34,64,2250,1008.85,64326.34,192979.0,11082.37,923.53,50.44,50.44,100.88,-1397.41,-116.45,-0.02,-46.03,-138.1,-184.13
Penthouse,Sliema,2.0,42,360,2.0,2.0,95.0,0.0,42.0,0.0,285000,750000,480523.81,600,6000,1949.94,120130.95,360392.86,20696.59,1724.72,97.5,97.5,194.99,-1977.17,-164.76,-0.02,-60.76,-182.28,-243.04
Apartment,Zebbug,1.0,15,7,2.0,1.0,85.0,0.0,12.0,0.0,168000,246000,200723.8,550,1400,771.43,50180.95,150542.85,8645.36,720.45,38.57,38.57,77.14,-1239.63,-103.3,-0.02,-40.48,-121.44,-161.92
Apartment,Fgura,2.0,85,31,2.0,1.0,93.0,0.0,9.0,0.0,150000,299000,200250.59,580,1000,805.65,50062.65,150187.94,8624.97,718.75,40.28,40.28,80.56,-890.73,-74.23,-0.02,-56.2,-168.61,-224.82
Townhouse,Sliema,4.0,8,70,3.0,3.0,130.0,0.0,15.0,0.0,545000,825000,686500.0,700,11000,2640.71,171625.0,514875.0,29568.18,2464.01,132.04,132.04,264.07,-4217.36,-351.45,-0.02,-40.69,-122.08,-162.78
Penthouse,Hamrun,3.0,12,3,2.0,2.0,115.0,,46.0,,225000,405000,302291.67,650,1450,1166.67,75572.92,226718.75,13019.98,1085.0,58.33,58.33,116.67,-1819.94,-151.66,-0.02,-41.52,-124.57,-166.1
Maisonette,Qawra,3.0,34,38,2.0,2.0,124.0,0.0,40.0,0.0,189000,395000,281088.24,700,2200,1116.97,70272.06,210816.18,12106.72,1008.89,55.85,55.85,111.7,-1383.81,-115.32,-0.02,-50.78,-152.34,-203.13
Apartment,Naxxar,2.0,65,203,2.0,2.0,94.0,0.0,8.0,0.0,175000,330000,268255.38,600,2400,1046.13,67063.84,201191.54,11554.0,962.83,52.31,52.31,104.61,-1511.15,-125.93,-0.02,-44.38,-133.14,-177.52
House of Character,Naxxar,4.0,3,8,3.0,3.0,315.0,0.0,100.0,0.0,725000,795000,751666.67,1700,6000,2906.25,187916.67,563750.0,32374.96,2697.91,145.31,145.31,290.62,-4474.96,-372.91,-0.02,-41.99,-125.98,-167.97
Apartment,Gzira,4.0,6,32,2.0,2.0,154.5,0.0,25.5,0.0,335000,490000,411666.67,800,5000,1657.81,102916.67,308750.0,17730.86,1477.57,82.89,82.89,165.78,-1815.88,-151.32,-0.02,-56.68,-170.03,-226.7
Penthouse,Birkirkara,1.0,34,17,1.0,1.0,65.5,0.0,41.0,0.0,160000,277000,212279.41,600,1150,866.18,53069.85,159209.56,9143.07,761.92,43.31,43.31,86.62,-827.74,-68.98,-0.02,-64.11,-192.34,-256.46
Maisonette,Sliema,3.0,14,55,2.0,2.0,106.0,0.0,23.5,0.0,318000,585000,414928.57,100,3500,1637.27,103732.14,311196.43,17871.35,1489.28,81.86,81.86,163.73,-2153.56,-179.46,-0.02,-48.17,-144.5,-192.67
Apartment,Gozo - Xlendi,3.0,12,17,2.0,2.0,124.0,0.0,15.0,0.0,138000,285000,179250.0,450,2300,723.53,44812.5,134437.5,7720.46,643.37,36.18,36.18,72.35,-774.57,-64.55,-0.02,-57.85,-173.56,-231.42
Apartment,Gozo - Xlendi,2.0,17,50,1.0,1.0,26.0,0.0,3.0,0.0,119500,175000,155323.53,450,1400,618.5,38830.88,116492.65,6689.92,557.49,30.92,30.92,61.85,-752.32,-62.69,-0.02,-51.61,-154.84,-206.46
Apartment,Gozo - Xewkija,2.0,25,5,2.0,1.0,85.0,0.0,5.0,0.0,120000,248000,149320.0,550,650,590.0,37330.0,111990.0,6431.35,535.95,29.5,29.5,59.0,-767.35,-63.95,-0.02,-48.65,-145.94,-194.59
Apartment,Pembroke,2.0,32,21,2.0,2.0,99.0,0.0,22.0,0.0,236000,425000,308320.31,800,1600,1188.1,77080.08,231240.23,13279.63,1106.64,59.4,59.4,118.81,-1873.87,-156.16,-0.02,-41.13,-123.4,-164.54
Maisonette,Sliema,2.0,29,120,2.0,2.0,69.5,0.0,5.5,0.0,217000,360000,302913.79,500,2900,1213.58,75728.45,227185.34,13046.77,1087.23,60.68,60.68,121.36,-1396.4,-116.37,-0.02,-54.23,-162.69,-216.92
Maisonette,Msida,1.0,13,15,1.0,1.0,60.0,0.0,0.0,0.0,96000,240000,176076.92,70,1200,714.0,44019.23,132057.69,7583.79,631.98,35.7,35.7,71.4,-729.39,-60.78,-0.02,-60.35,-181.05,-241.4
Apartment,Kappara,3.0,89,64,2.0,2.0,113.5,0.0,13.0,0.0,240000,425000,347110.11,700,1900,1376.56,86777.53,260332.58,14950.35,1245.86,68.83,68.83,137.66,-1735.37,-144.61,-0.02,-50.01,-150.02,-200.02
Apartment,Gozo - Victoria,3.0,191,99,2.0,2.0,119.0,0.0,15.0,0.0,137000,325000,198000.0,400,1500,763.59,49500.0,148500.0,8528.04,710.67,38.18,38.18,76.36,-1197.57,-99.8,-0.02,-41.33,-124.0,-165.33
Apartment,Gozo - Victoria,2.0,87,63,2.0,1.0,105.0,0.0,14.0,0.0,123000,245000,167666.67,450,1000,655.95,41916.67,125750.0,7221.55,601.8,32.8,32.8,65.6,-924.43,-77.04,-0.02,-45.34,-136.03,-181.37
Penthouse,Marsaskala,1.0,3,20,2.0,1.0,70.0,0.0,33.0,0.0,202000,213000,207333.33,600,1500,831.0,51833.33,155500.0,8930.03,744.17,41.55,41.55,83.1,-952.43,-79.37,-0.02,-54.42,-163.27,-217.69
Apartment,Saint Julian's,4.0,13,53,3.0,2.0,172.5,0.0,50.0,0.0,325000,800000,548076.92,700,6500,2228.09,137019.23,411057.69,23606.17,1967.18,111.4,111.4,222.81,-2216.5,-184.71,-0.02,-61.82,-185.45,-247.27
House of Character,Zurrieq,4.0,3,3,2.0,3.5,102.5,,48.5,,545000,750000,679666.67,800,6000,2766.67,169916.67,509750.0,29273.86,2439.49,138.33,138.33,276.67,-2713.83,-226.15,-0.02,-62.61,-187.83,-250.45
Apartment,Saint Paul's Bay,2.0,422,437,2.0,2.0,86.0,0.0,12.0,0.0,130000,399000,239894.93,100,2800,932.8,59973.73,179921.2,10332.49,861.04,46.64,46.64,93.28,-1377.61,-114.8,-0.02,-43.53,-130.6,-174.14
