Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Rooms,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
False,Ben Estate,BLPTH132743,Mosta,Penthouse,,,,3,2,,,,1300
False,Ben Estate,BLAPT132739,Msida,Apartment,,,,1,1,1.00,,,750
False,Ben Estate,BLPTH132727,Attard,Penthouse,,,,2,2,,,,1200
False,Ben Estate,BLAPT132725,Sliema,Apartment,,,,3,2,,,,2300
False,Ben Estate,BLMSN132723,Mellieha,Maisonette,,,,3,2,100.00,,,700
False,Ben Estate,BLPTH132711,Msida,Penthouse,,,,2,1,90.00,,,900
False,Ben Estate,BLCHC132707,Naxxar,House of Character,,,,3,2,180.00,,,1500
False,Ben Estate,BLAPT132705,Msida,Apartment,,,,2,2,,,,850
False,Ben Estate,BLAPT132703,San Gwann,Apartment,,,,2,2,87.00,,,950
False,Ben Estate,BLAPT132693,Gzira,Apartment,,,,2,1,86.00,,,950
False,Ben Estate,BLPTH132673,Msida,Penthouse,,,,1,2,1.00,,,800
False,Ben Estate,BLAPT132666,Bugibba,Apartment,,,,3,2,130.00,,,1500
False,Ben Estate,BLCFH132656,Mtarfa,Farmhouse,,,,2,1,100.00,,,1500
False,Ben Estate,BLAPT132648,Msida,Apartment,,,,3,3,1.00,,,1200
False,Ben Estate,BLAPT132646,Msida,Apartment,,,,3,2,1.00,,,1200
False,Ben Estate,BLAPT132644,Msida,Apartment,,,,3,3,1.00,,,1200
False,Ben Estate,BLSLG132638,Birkirkara,Street Level Garage,,,,,,,,,30
False,Ben Estate,BLAPT132628,Sliema,Apartment,,,,2,1,,,,1000
False,Ben Estate,BLAPT132599,St. Pauls Bay,Apartment,,,,2,1,100.00,,,650
False,Ben Estate,BLAPT132597,St. Pauls Bay,Apartment,,,,2,1,100.00,,,650
False,Ben Estate,BLAPT132593,St. Pauls Bay,Apartment,,,,2,1,100.00,,,650
False,Ben Estate,BLAPT132591,St. Pauls Bay,Apartment,,,,2,1,100.00,,,650
False,Ben Estate,BLAPT132589,St. Pauls Bay,Apartment,,,,2,1,100.00,,,650
False,Ben Estate,BLAPT132587,St. Pauls Bay,Apartment,,,,2,1,105.00,,,750
False,Ben Estate,BLAPT132581,Pieta,Apartment,,,,3,2,146.00,,,1500
False,Ben Estate,BLGFM132579,Gzira,Ground Floor Maisonette,,,,2,1,1.00,,,850
False,Ben Estate,BLGFM132577,Balzan,Ground Floor Maisonette,,,,3,2,1.00,,,1200
False,Ben Estate,BLAPT132555,St. Pauls Bay,Apartment,,,,2,2,,,,1150
False,Ben Estate,BLPTH132553,St. Pauls Bay,Penthouse,,,,2,1,,,,1050
False,Ben Estate,BLAPT132541,Kalkara,Apartment,,,,3,2,180.00,,,1700
False,Ben Estate,BLAPT132535,Kalkara,Apartment,,,,3,2,280.00,,,1200
False,Ben Estate,BLAPT132503,Marsascala,Apartment,,,,3,3,,,,1300
False,Ben Estate,BLCHC132489,Qormi,House of Character,,,,3,1,210.00,,,1800
False,Ben Estate,BLAPT132453,Bugibba,Apartment,,,,3,1,,,,700
False,Ben Estate,BLAPT132422,Msida,Apartment,,,,2,1,,,,750
False,Ben Estate,BLCOMM132360,Sliema,Commercial,,,,1,,1.00,,,800
False,Ben Estate,BLSLG131305,St. Pauls Bay,Street Level Garage,,,,,,,,,1200
False,Ben Estate,BLAPT131303,Naxxar,Apartment,,,,2,2,1.00,,,950
False,Ben Estate,BLSLG131253,Mosta,Street Level Garage,,,,1,,,,,15
False,Ben Estate,BLAPT131251,Msida,Apartment,,,,3,2,1.00,,,1500
False,Ben Estate,BLAPT131209,Zejtun,Apartment,,,,2,2,105.00,,,650
False,Ben Estate,BLAPT131207,Qormi,Apartment,,,,3,1,1.00,,,1500
False,Ben Estate,BLAPT131201,Qormi,Apartment,,,,4,2,1.00,,,1800
False,Ben Estate,BLBAR131195,Gzira,Catering Establishments,,,,1,,90.00,,,200
False,Ben Estate,BLAPT131148,St. Pauls Bay,Apartment,,,,1,1,1.00,,,400
False,Ben Estate,BLAPT131136,St. Julians,Apartment,,,,3,2,,,,1150
False,Ben Estate,BLGFM131120,Ta' Paris,Ground Floor Maisonette,,,,3,2,168.00,,,950
False,Ben Estate,BLAPT131110,Mellieha,Apartment,,,,1,1,70.00,,,400
False,Ben Estate,BLAPT131108,Mellieha,Apartment,,,,4,2,100.00,,,1200
False,Ben Estate,BLTWC131106,Zurrieq,Town House,,,,2,2,,,,1400
False,Ben Estate,BLTWC131086,Msida,Town House,,,,3,2,210.00,,,1700
False,Ben Estate,BLAPT131078,San Gwann,Apartment,,,,2,2,,,,900
False,Ben Estate,BLAPT131068,Birzebbuga,Apartment,,,,2,1,,,,750
False,Ben Estate,BLAPT131050,Zejtun,Apartment,,,,2,2,1.00,,,750
False,Ben Estate,BLAPT130996,Qawra,Apartment,,,,3,2,230.00,,,1500
False,Ben Estate,BLFFM130966,Birkirkara,First Floor Maisonette,,,,3,1,1.00,,,1000
False,Ben Estate,BLAPT130960,Gozo - Marsalforn,Apartment,,,,2,2,90.00,,,550
False,Ben Estate,BLAPT130958,Gozo - Marsalforn,Apartment,,,,3,3,150.00,,,750
False,Ben Estate,BLTWC130928,Sliema,Town House,,,,2,2,,,,900
False,Ben Estate,BLMSN130922,Gozo - Xlendi,Maisonette,,,,2,1,85.00,,,425
False,Ben Estate,BLFFM130918,Zejtun,First Floor Maisonette,,,,2,1,100.00,,,750
False,Ben Estate,BLAPT130914,Marsascala,Apartment,,,,3,2,,,,900
False,Ben Estate,BLMSN130910,Bugibba,Maisonette,,,,,,,,,800
False,Ben Estate,BLAPT130906,St. Julians,Apartment,,,,2,2,,,,1050
False,Ben Estate,BLBGR130900,Sliema,Basement Garage,,,,,,,,,160
False,Ben Estate,BLGAR130898,Sliema,Garage Space,,,,,,,,,100
