Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
TRUE,Belair,505361,Valletta,Palazzo / Palazzino,,,30,9,,,,5000000
TRUE,Belair,504593,Valletta,Office Centre,,,,,1700,,,12250000
TRUE,Belair,505288,"Sliema, Tigne Point",Garage Residential,,,0,0,15,,,38000
TRUE,Belair,137737,Sliema,Garage Residential,,,0,0,5,,,39000
TRUE,Belair,505484,Naxxar,Garage Residential,,,3,0,140,,,40000
TRUE,Belair,505289,"Sliema, Tigne Point",Garage Residential,,,0,0,30,,,65000
TRUE,Belair,307880,Ibrag,Garage Residential,,,0,0,44,,,79500
TRUE,Belair,505274,Rabat,Agricultural Land,,,0,0,670,,,109000
TRUE,Belair,701990,Xaghra,Apartment,,,1,1,54,,,117000
TRUE,Belair,308025,Qormi,Ground Floor Maisonette,,,1,1,64,,,120000
TRUE,Belair,307935,Gzira,Retail Outlet,,,,,48,,,120000
TRUE,Belair,701991,Xaghra,Apartment,,,1,1,59,,,125000
TRUE,Belair,701992,Xaghra,Apartment,,,2,1,83,,,140000
TRUE,Belair,137696,"Rabat, Gozo",Apartment Block,,,2,1,96,,,143000
TRUE,Belair,137697,"Rabat, Gozo",Apartment Block,,,2,1,107,,,146000
TRUE,Belair,137698,"Rabat, Gozo",Apartment Block,,,2,1,94,,,148000
TRUE,Belair,137718,"Rabat, Gozo",Apartment Block,,,2,1,94,,,148000
TRUE,Belair,701994,Xaghra,Apartment,,,2,1,90,,,150000
TRUE,Belair,137717,"Rabat, Gozo",Apartment Block,,,2,1,105,,,152000
TRUE,Belair,701997,Xaghra,Apartment,,,1,1,90,,,155000
TRUE,Belair,137719,"Rabat, Gozo",Apartment Block,,,2,1,105,,,157000
TRUE,Belair,701993,Xaghra,Apartment,,,2,1,95,,,160000
TRUE,Belair,505431,Msida,Garage Residential,,,0,0,75,,,163000
TRUE,Belair,701996,Xaghra,Apartment,,,1,1,54,,,165000
TRUE,Belair,307943,Hamrun,Duplex Penthouse,,,2,2,105,,,168000
TRUE,Belair,505466,San Gwann,Apartment,,,1,1,57,,,170000
TRUE,Belair,307907,Gzira,Apartment,,,1,1,55,,,170500
TRUE,Belair,701995,Xaghra,Apartment,,,1,1,113,,,175000
TRUE,Belair,505471,San Gwann,Apartment,,,3,1,57,,,175000
TRUE,Belair,307917,Gzira,Apartment,,,1,1,55,,,176500
TRUE,Belair,307922,Gzira,Apartment,,,2,1,55,,,179500
TRUE,Belair,701998,Xaghra,Apartment,,,1,1,113,,,180000
TRUE,Belair,505279,Zejtun,Apartment,,,2,2,90,,,185000
TRUE,Belair,505195,Msida,Independent Offices,,,,,74,,,190000
TRUE,Belair,505194,Msida,Independent Offices,,,,,74,,,190000
TRUE,Belair,307931,Gzira,Apartment,,,1,1,60,,,190000
TRUE,Belair,505196,Msida,Independent Offices,,,,,74,,,190000
TRUE,Belair,307932,Gzira,Apartment,,,1,1,60,,,195000
TRUE,Belair,505352,Msida,Apartment,,,2,2,79,,,195000
TRUE,Belair,308026,Qormi,Apartment,,,1,1,64,,,199000
TRUE,Belair,308027,Qormi,Apartment,,,1,1,64,,,199000
TRUE,Belair,505348,Balzan,Retail Outlet,,,,,80,,,199000
TRUE,Belair,307933,Gzira,Apartment,,,1,1,60,,,200000
TRUE,Belair,505411,Birkirkara,Apartment,,,2,2,100,,,200000
TRUE,Belair,505369,Santa Venera,Elevated Ground Floor Maisonette,,,1,2,95,,,202000
TRUE,Belair,505415,Birkirkara,Apartment,,,2,2,100,,,205000
TRUE,Belair,137800,Qawra,Apartment,,,2,1,90,,,208000
TRUE,Belair,307955,Birkirkara,Apartment,,,2,2,94,,,210000
TRUE,Belair,505409,Birkirkara,Apartment,,,2,2,90,,,210000
TRUE,Belair,505408,Birkirkara,Apartment,,,2,2,99,,,210000
TRUE,Belair,505410,Birkirkara,Apartment,,,2,2,91,,,210000
TRUE,Belair,307954,Birkirkara,Apartment,,,2,2,93,,,210000
TRUE,Belair,505419,Birkirkara,Apartment,,,2,2,100,,,210000
TRUE,Belair,307987,Swieqi,Ground Floor Maisonette,,,1,1,55,,,213000
TRUE,Belair,307958,Birkirkara,Apartment,,,2,2,95,,,215000
TRUE,Belair,505414,Birkirkara,Apartment,,,2,2,91,,,215000
TRUE,Belair,505209,Gzira,Apartment,,,2,2,90,,,215000
TRUE,Belair,505425,Msida,Apartment,,,2,1,90,,,215000
TRUE,Belair,505413,Birkirkara,Apartment,,,2,2,90,,,215000
TRUE,Belair,505412,Birkirkara,Apartment,,,2,2,99,,,215000
TRUE,Belair,307957,Birkirkara,Apartment,,,2,2,91,,,215000
TRUE,Belair,137769,Mellieha,Apartment,,,1,1,76,,,218000
TRUE,Belair,307902,Gzira,Apartment,,,2,2,128,,,218000
TRUE,Belair,505218,Gzira,Apartment,,,2,2,93,,,219000
TRUE,Belair,307961,Birkirkara,Apartment,,,2,2,95,,,220000
TRUE,Belair,505417,Birkirkara,Apartment,,,2,2,90,,,220000
TRUE,Belair,505418,Birkirkara,Apartment,,,2,2,91,,,220000
TRUE,Belair,505522,Mosta,Apartment,,,2,2,106,,,220000
TRUE,Belair,505424,Birkirkara,Ground Floor Maisonette,,,2,2,112,,,220000
TRUE,Belair,505416,Birkirkara,Apartment,,,2,2,99,,,220000
TRUE,Belair,505521,Mosta,Apartment,,,2,2,106,,,220000
TRUE,Belair,307960,Birkirkara,Apartment,,,2,2,91,,,220000
TRUE,Belair,308028,Mosta,Townhouse,,,1,1,60,,,223000
TRUE,Belair,505433,Zejtun,Apartment,,,2,2,127,,,224000
TRUE,Belair,505220,Gzira,Apartment,,,2,2,93,,,225000
TRUE,Belair,505227,Mosta,Apartment,,,2,2,100,,,225000
TRUE,Belair,505219,Gzira,Apartment,,,2,2,96,,,225000
TRUE,Belair,505351,Msida,Ground Floor Maisonette,,,2,2,86,,,225000
TRUE,Belair,505420,Birkirkara,Penthouse,,,1,2,171,,,225000
TRUE,Belair,505259,Fgura,Apartment,,,3,2,108,,,225000
TRUE,Belair,505197,Msida,Independent Offices,,,,,74,,,225000
TRUE,Belair,505260,Fgura,Apartment,,,3,2,108,,,225000
TRUE,Belair,307906,Gzira,Apartment,,,2,3,112,,,227000
TRUE,Belair,307911,Gzira,Apartment,,,2,3,112,,,228500
TRUE,Belair,505435,Zejtun,Apartment,,,2,2,124,,,229000
TRUE,Belair,505222,Gzira,Apartment,,,2,2,93,,,229000
TRUE,Belair,505221,Gzira,Apartment,,,2,2,96,,,229000
TRUE,Belair,505262,Fgura,Apartment,,,3,2,108,,,230000
TRUE,Belair,505261,Fgura,Apartment,,,3,2,108,,,230000
TRUE,Belair,505229,Mosta,Apartment,,,2,2,100,,,230000
TRUE,Belair,505437,Zejtun,Apartment,,,2,2,124,,,234000
TRUE,Belair,307921,Gzira,Apartment,,,2,2,112,,,234500
TRUE,Belair,505328,Msida,Apartment,,,3,2,130,,,235000
TRUE,Belair,505231,Mosta,Apartment,,,2,2,100,,,235000
TRUE,Belair,505329,Msida,Apartment,,,3,2,130,,,235000
TRUE,Belair,505327,Msida,Apartment,,,3,2,130,,,235000
TRUE,Belair,505199,Msida,Independent Offices,,,,,74,,,235000
