Type,Province,Town,Bedrooms,Stage,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
Penthouse,Central,Balzan,4.0,Finished,2,4.0,184.0,75.0,725000.0,795000.0,760000.0
Terraced House,South,Zejtun,3.0,Unclassified,3,3.0,260.0,50.0,755000.0,850000.0,755000.0
Townhouse,East,Valletta,1.0,Furnished,2,1.5,120.0,50.0,405000.0,1100000.0,752500.0
House of Character,South,Zurrieq,4.0,Furnished,3,2.0,,,545000.0,969000.0,750000.0
Terraced House,Central,Attard,3.0,Unclassified,10,3.5,192.5,41.0,600000.0,795000.0,750000.0
Penthouse,East,Sliema,1.0,Furnished,4,1.0,,,450000.0,750000.0,750000.0
Terraced House,East,Swieqi,3.0,Unclassified,3,3.0,230.0,22.5,745000.0,950000.0,750000.0
House of Character,South,Zurrieq,4.0,Unclassified,5,2.0,225.0,109.0,383000.0,967500.0,750000.0
Terraced House,Central,Attard,3.0,Shell,6,3.0,125.0,68.0,650000.0,780000.0,750000.0
House of Character,South,Cospicua,3.0,Furnished,3,3.0,165.0,24.0,550000.0,890000.0,750000.0
Terraced House,South,Luqa,4.0,Furnished,2,2.0,,,700000.0,798000.0,749000.0
Townhouse,East,Sliema,3.0,Furnished,9,2.0,220.0,25.0,549000.0,875000.0,749000.0
House of Character,Central,Naxxar,4.0,Unclassified,2,3.5,315.0,100.0,735000.0,760000.0,747500.0
Farmhouse,Gozo,Gozo - Sannat,3.0,Unclassified,4,2.0,140.0,172.5,720000.0,775000.0,745000.0
Townhouse,Central,Mosta,3.0,Finished,4,2.0,,,320000.0,855000.0,736250.0
Terraced House,North,Mellieha,3.0,Finished,2,2.5,190.0,34.0,612000.0,850000.0,731000.0
Penthouse,East,Sliema,3.0,Plan,3,2.0,,,564000.0,730000.0,730000.0
Penthouse,East,Sliema,3.0,Unclassified,5,2.0,79.0,64.0,695000.0,795000.0,730000.0
Terraced House,West,Mtarfa,3.0,Unclassified,2,3.5,277.0,18.0,600000.0,850000.0,725000.0
Townhouse,West,Dingli,3.0,Furnished,4,2.0,177.5,36.0,720000.0,725000.0,723000.0
Penthouse,North,Qawra,3.0,Unclassified,4,2.0,127.0,102.0,430000.0,795000.0,720000.0
House of Character,Gozo,Gozo - Sannat,3.0,Finished,5,4.0,222.0,151.0,550000.0,760000.0,720000.0
Townhouse,East,Pieta,3.0,Shell,4,5.0,,,595000.0,900000.0,719500.0
Terraced House,Gozo,Gozo - Xaghra,3.0,Finished,2,2.0,300.0,33.0,435000.0,1000000.0,717500.0
Terraced House,North,Mellieha,3.0,Furnished,8,2.0,200.0,34.0,595000.0,865000.0,715000.0
House of Character,South,Zurrieq,3.0,Furnished,4,2.0,180.5,48.5,480000.0,730000.0,712500.0
Terraced House,South,Zabbar,3.0,Finished,2,2.0,120.0,50.0,505000.0,900000.0,702500.0
Terraced House,South,Marsaskala,3.0,Unclassified,2,2.0,150.0,,700000.0,700000.0,700000.0
Terraced House,South,Zabbar,3.0,Shell,3,2.0,296.5,195.5,446500.0,855000.0,700000.0
Terraced House,South,Marsaxlokk,3.0,Furnished,3,3.0,204.0,55.0,695000.0,989000.0,700000.0
Terraced House,Central,Mosta,3.0,Finished,8,3.0,,,650000.0,700000.0,700000.0
Penthouse,Central,Naxxar,2.0,Unclassified,3,2.0,90.0,43.0,345000.0,700000.0,700000.0
Penthouse Duplex,East,Swieqi,3.0,Finished,4,2.5,60.0,77.5,590000.0,915000.0,699500.0
Townhouse,East,Sliema,3.0,Unclassified,4,1.5,140.0,51.0,549000.0,850000.0,699500.0
House of Character,South,Mqabba,3.0,Furnished,6,2.0,213.0,93.0,532000.0,950000.0,698000.0
House of Character,Gozo,Gozo - Xaghra,3.0,Furnished,2,4.0,156.5,75.0,675000.0,720000.0,697500.0
Penthouse,East,Sliema,3.0,Finished,11,2.0,129.0,30.0,525000.0,798000.0,695000.0
Penthouse,North,Mgarr,2.0,Unclassified,3,2.0,,,375000.0,755000.0,695000.0
Penthouse,North,Mgarr,2.0,Plan,13,2.0,100.5,36.5,375000.0,755000.0,695000.0
Townhouse,South,Zurrieq,3.0,Furnished,2,3.0,295.0,65.5,690000.0,700000.0,695000.0
Penthouse Duplex,East,Bahar Ic-Caghaq,3.0,Finished,4,2.0,130.0,135.0,695000.0,850000.0,695000.0
Penthouse,East,Swieqi,3.0,Finished,9,2.0,124.0,59.0,625000.0,749000.0,695000.0
Plot,Central,Birkirkara,3.0,Unclassified,2,2.0,200.0,190.0,425000.0,960000.0,692500.0
Townhouse,West,Zebbug,2.0,Furnished,3,1.0,261.0,58.5,325000.0,800000.0,691000.0
Townhouse,South,Birgu,3.0,Unclassified,3,2.0,275.0,,595000.0,750000.0,690000.0
Terraced House,North,Mellieha,4.0,Furnished,3,2.0,182.0,62.0,690000.0,695000.0,690000.0
Terraced House,South,Zejtun,3.0,Finished,3,2.0,,,639000.0,690000.0,690000.0
Penthouse,East,Saint Julian's,3.0,Unclassified,3,2.0,160.0,40.0,625000.0,690000.0,690000.0
Terraced House,South,Fgura,3.0,Plan,2,2.0,206.0,66.5,690000.0,690000.0,690000.0
Townhouse,East,Pieta,3.0,Unclassified,2,6.5,,,595000.0,780000.0,687500.0
Penthouse,North,Xemxija,2.0,Unclassified,2,2.0,,,685500.0,685500.0,685500.0
Terraced House,South,Kalkara,3.0,Furnished,3,2.0,172.5,30.5,535000.0,688000.0,680000.0
Terraced House,South,Marsaskala,3.0,Furnished,3,2.0,230.0,20.0,680000.0,691000.0,680000.0
Penthouse Duplex,East,Swieqi,3.0,Plan,2,2.0,184.0,80.0,500000.0,855000.0,677500.0
Townhouse,Central,Naxxar,4.0,Unclassified,2,3.0,282.0,40.0,595000.0,760000.0,677500.0
Townhouse,Central,Mosta,2.0,Unclassified,3,2.0,240.0,40.0,385000.0,675000.0,675000.0
Penthouse Duplex,East,Swieqi,3.0,Furnished,2,2.5,,,500000.0,850000.0,675000.0
Terraced House,South,Santa Lucija,3.0,Furnished,2,2.0,191.0,49.0,675000.0,675000.0,675000.0
Townhouse,Central,Mosta,3.0,Unclassified,3,2.0,246.0,17.0,480000.0,1100000.0,675000.0
Penthouse,North,Mgarr,3.0,Plan,7,2.0,113.0,50.0,478000.0,740000.0,675000.0
House of Character,West,Rabat,3.0,Unclassified,2,2.5,160.0,25.0,395000.0,950000.0,672500.0
Townhouse,West,Zebbug,3.0,Unclassified,6,3.5,167.0,20.0,290000.0,980000.0,672500.0
Townhouse,East,Gharghur,3.0,Furnished,3,2.0,85.0,20.0,565000.0,670000.0,670000.0
Townhouse,West,Siggiewi,4.0,Unclassified,2,1.5,200.0,10.0,436000.0,900000.0,668000.0
House of Character,Central,Qormi,4.0,Plan,2,4.0,337.5,119.0,655000.0,675000.0,665000.0
Townhouse,South,Qrendi,3.0,Furnished,2,2.0,,,640000.0,689000.0,664500.0
Terraced House,Central,Qormi,3.0,Unclassified,6,2.0,225.0,78.0,500000.0,1000000.0,664500.0
Terraced House,Central,Qormi,3.0,Furnished,2,2.0,220.0,40.0,638000.0,690000.0,664000.0
Penthouse,North,Mgarr,3.0,Unclassified,6,2.0,140.0,25.0,480000.0,740000.0,662500.0
Townhouse,West,Rabat,4.0,Furnished,3,2.0,400.0,26.0,650000.0,950000.0,660000.0
Townhouse,West,Dingli,3.0,Finished,3,3.0,164.0,10.0,660000.0,755000.0,660000.0
Terraced House,Central,Attard,3.0,Plan,21,2.0,72.0,38.0,650000.0,750000.0,660000.0
Penthouse Duplex,South,Marsaskala,4.0,Shell,2,3.0,185.0,75.0,620000.0,690000.0,655000.0
Townhouse,South,Cospicua,4.0,Finished,3,3.0,,,485000.0,990000.0,650000.0
Terraced House,South,Zejtun,3.0,Furnished,5,2.0,145.5,29.5,489000.0,755000.0,650000.0
Terraced House,West,Zebbug,3.0,Shell,2,3.5,260.0,30.0,650000.0,650000.0,650000.0
